Player Name,Team
Harry Brook,PPT
Ryan Burl,RamSurya
Tilak Varma,RSK
Pathum Nissanka,RamSurya
Tim Seifert,RamSurya
Philip Salt,PPT
Shai Hope,PPT
Liam Dawson,PPT
Kamindu Mendis,RamSurya
Mohammad Nawaz,PPT
Shadab Khan,CNI
Saim Ayub,PPT
Corbin Bosch,GKKani
Will Jacks,RSK
Jacob Duffy,CNI
Adil Rashid,RSK
Matt Henry,CNI
Wellington Masakadza,CNI
Akeal Hossein,RamSurya
Dushan Hemantha,CNI
Gudakesh Motie,PPT
Suryakumar Yadav,RSK
Shimron Hetmyer,CNI
Jacob Bethell,PPT
Tristan Stubbs,RSK
Brian Bennett,GKKani
Jason Holder,CNI
Sikandar Raza,PPT
Romario Shepherd,GKKani
Hardik Pandya,GKKani
Mitchell Santner,RamSurya
Salman Agha,GKKani
Ishan Kishan,RSK
Quinton De Kock,RamSurya
Ryan Rickleton,PPT
Tadiwanashe Marumani,RSK
Usman Khan,GKKani
Varun Chakaravarthy,RamSurya
Blessing Muzarabani,CNI
Dushmantha Chameera,PPT
Kuldeep Yadav,GKKani
Keshav Maharaj,RamSurya
Rachin Ravindra,GKKani
Abhishek Sharma,PPT
David Miller,GKKani
Sherfane Rutherford,GKKani
Pavan Rathnayake,RamSurya
Tom Banton,CNI
Jos Buttler,RSK
Kusal Mendis,CNI
Shivam Dube,GKKani
Dasun Shanaka,RamSurya
Jamie Overton,RSK
Axar Patel,CNI
Sam Curran,CNI
Jofra Archer,CNI
Maheesh Theekshana,RamSurya
Lockie Ferguson,GkKani
Usman Tariq,RamSurya
Aiden Markram,CNI
Daryl Mitchell,RamSurya
Sahibzada Farhan,Gkkani
Finn Allen,Gkkani
Dewald Brevis,PPT
Marco Jansen,Gkkani
Roston Chase,RSK
Dunith Wellalage,PPT
Glenn Phillips,RamSurya
Dilshan Madushanka,RSK
Lungi Ngidi,RSK
Shamar Joseph,PPT
Kagiso Rabada,CNI
Jasprit Bumrah,RSK
Arshdeep Singh,RSK
Babar Azam,RSK
